x,y
49.76934514,-14.57071727
50.11243526,-14.40075304
50.11308754,-15.73614878
50.08555954,-14.66157868
49.37429009,-14.48906607
49.70597142,-16.34956134
50.03303381,-15.16026456
49.34085285,-13.1472071
47.17173427,-18.97721535
50.15433889,-14.34061488
49.24146689,-18.59466049
48.68741774,-18.53762774
49.33846185,-17.89998098
47.74661768,-14.86228225
49.17131062,-17.06501796
48.80773392,-18.07318114
49.27500622,-18.16039944
49.05361631,-17.97147661
48.91773278,-18.42367483
49.46133833,-17.76108072
48.86379877,-17.87230236
49.18538966,-17.83667374
49.39813364,-18.04851439
49.44878626,-17.21851709
49.24048363,-18.40724933
49.38298945,-18.06252695
48.60423421,-18.3166142
49.02409846,-18.08579475
49.12136715,-18.73065636
48.88311857,-17.54649117
49.03323882,-17.22692283
49.30926044,-17.06352813
49.05622899,-17.51223611
48.75699423,-17.92210745
49.07638067,-18.00262725
49.00889628,-17.81245537
48.72235649,-17.51913499
48.34494328,-18.21134123
48.4844411,-18.18385441
47.92106647,-16.52610703
47.47471148,-16.28649615
47.30843322,-15.62651063
47.60755493,-16.49256056
47.14162992,-16.60221935
48.07334271,-16.23608786
48.34735028,-15.85710873
48.74230125,-16.27081514
49.24966063,-15.05320328
48.2999281,-15.74195527
48.84563592,-16.80867739
48.74559684,-16.25141345
48.39260501,-15.52140908
48.0179969,-16.25269352
48.57177756,-15.61108708
48.42744805,-16.56454261
47.91371722,-16.06357446
48.7711882,-16.23228007
47.92731927,-15.60535614
48.75340614,-15.94266659
48.76576131,-16.31887932
49.44490636,-15.99496597
49.28150625,-16.64260562
49.05686049,-16.39509696
48.63590189,-15.49021886
49.19663474,-15.8144064
48.95856505,-15.42467631
48.85918119,-16.70942627
48.45208161,-15.98540407
49.15540332,-15.80277569
47.97324667,-16.0232909
47.85494793,-15.39447875
49.68827952,-14.02552886
49.71911347,-13.43464104
49.75405612,-13.11424332
49.84260203,-13.5358227
49.27818036,-13.98653026
49.37963634,-13.40597043
49.92233911,-14.27863898
45.3622336,-18.653009
48.54587312,-17.37813862
49.35266466,-13.88380636
49.14843342,-13.472264
49.68269992,-13.56374124
49.99524587,-13.90508497
48.92822491,-13.10827333
50.04568143,-13.96512284
49.79654607,-13.59734942
49.84029867,-14.0990537
49.52323399,-13.34777204
49.57062392,-13.34004964
49.13578646,-13.83986154
49.74483425,-13.13695308
49.77698353,-14.33830966
49.62691541,-13.7000188
49.63902556,-13.54073759
49.86300871,-13.42891253
49.21401516,-13.9167399
49.1301806,-13.50548508
49.52331437,-14.02728503
45.10965875,-19.69874104
49.61668334,-13.29694351
49.77173221,-14.24030791
49.35135566,-13.4413677
49.36464469,-12.93735776
49.34222497,-13.69011587
49.88005191,-14.27562406
46.57207112,-21.31068268
47.57510259,-21.01863128
47.36844983,-21.27750712
47.38586756,-21.50941756
47.52102438,-21.89037579
47.64460362,-21.39692434
46.82330175,-21.60368164
46.6549748,-21.16411804
47.6070093,-21.57077396
47.66415611,-21.64972047
47.25998703,-21.75423147
47.03008353,-20.90192728
46.96673003,-21.15822539
47.73478205,-21.63057866
47.40800725,-21.61399666
46.79597828,-21.05914061
47.08458568,-20.99879931
47.54161408,-20.91748312
46.75921465,-21.43167006
47.76540175,-21.58721818
46.42748172,-21.25216425
46.65060882,-21.53822907
47.25069765,-22.01357786
46.73871107,-20.96924051
46.76735389,-21.35984802
46.7710257,-21.69156063
46.55152355,-21.90620008
47.82314717,-18.27494359
46.74423767,-21.56120623
46.97010837,-22.15851012
47.59408379,-21.56078401
47.4419944,-21.17679821
47.58142122,-21.65270118
46.57709551,-21.22792355
47.63863293,-21.98523474
47.51524324,-21.87594388
47.72590904,-21.59802707
47.81117336,-21.1768481
47.10091734,-21.99826496
47.81405939,-20.41249385
47.26983656,-20.71192894
46.45608917,-21.50118839
47.47188576,-21.41923004
46.70020013,-21.64606826
47.5963295,-20.94702575
46.70756251,-22.07384464
47.02630492,-22.02075066
47.16577249,-21.92248616
47.66087091,-21.32933419
46.70351471,-21.43698813
47.21887107,-21.35059219
47.42614972,-21.28603368
47.38462986,-21.86070257
47.09180318,-21.05729243
47.22544412,-20.94145928
47.14309061,-21.90773253
46.88209985,-21.61812226
46.36414196,-16.26816462
44.89410936,-24.6733582
47.78247255,-21.57344837
47.27781211,-21.23429178
47.12795061,-21.97970252
46.83935517,-21.46520403
47.2538768,-21.94973451
47.25996833,-22.30391508
46.31851287,-22.16799292
47.71796868,-22.19117546
46.60751879,-21.68057348
44.97380912,-24.45047795
47.41564786,-21.40494563
47.06400978,-22.32531568
46.9137015,-22.36627109
46.62436617,-22.33269202
46.86699374,-21.7614369
47.32654002,-22.31529715
46.98971128,-21.40700772
46.53298633,-22.16369735
47.58366781,-21.71639513
46.99632759,-22.58107206
47.49374352,-21.66640268
47.25082482,-22.24314111
46.7684517,-22.63285906
47.09210817,-22.26481159
46.84454817,-21.76067382
46.51746416,-21.5929188
46.88312315,-21.87277774
46.21754047,-21.53880272
46.6450064,-21.63334089
46.37142836,-21.92177945
46.91783979,-21.53844643
46.62735145,-22.4108553
46.31973464,-22.12431392
47.15017761,-22.5320544
46.56053254,-22.13607884
46.25659746,-21.44159882
47.36406393,-21.2808708
47.18326181,-21.76218598
47.50786398,-20.79849228
47.70930658,-21.96474499
47.24701238,-20.72707233
47.21803744,-21.54816927
47.33227041,-21.79169513
47.24470641,-21.52272787
47.66368694,-21.50410467
